code,module,title,origin,occurred_at,reason,strategy,department,priority,follow_up,status,source
IN097,Agendamiento / RX,"No se pueden tomar horas de RX para el dia de hoy desde Contact, pese a mostrar disponibilidad",Operacion,2026-07-14T12:00:00-04:00,"El sistema Contact muestra horas disponibles de RX para el dia (bloques de 5 minutos), pero al intentar concretar la reserva aparece el error No es posible concretar tu reserva, porque ya tienes una cita para la misma prestacion (ID: 3016978), bloqueando el agendamiento para las operarias. Matias logro agendar unicamente a traves de Alma 5.4 (version distinta del sistema), lo que sugiere que el problema es especifico del modulo Contact/BBDD y no de disponibilidad real","Hugo debe revisar la base de datos para identificar por que el sistema considera que ya existe una cita para la misma prestacion, bloqueando nuevas reservas legitimas de las operarias",Alma / Integraciones,alta,Solucionado,resuelta,excel
IN098,Agendamiento,Holter Arritmia Talagante abierta pese a estar bloqueada,Actualizacion,2026-07-15T12:00:00-04:00,Agenda bloqueada pero muestra cupos disponibles (imágenes adjuntas),Revisar bloqueos y sincronización,Alma,media,Solucionado,resuelta,excel
IN099,Agendamiento / Alma,Profesional aparece con horas disponibles en sucursal incorrecta para el horario/turno,Operacion,2026-07-15T12:00:00-04:00,"Se confirmo que la causa es un error de sucursal: Pedro Cruz atiende en Talagante en la manana (AM) y recien pasa a La Florida en la tarde (PM), por lo que el sistema lo mostro disponible en la sucursal y turno equivocados",Revisar por que el sistema asigna/muestra al profesional en una sucursal distinta a la que corresponde segun su turno real (AM Talagante / PM La Florida); validar la configuracion de turnos por sucursal para todos los profesionales con doble sede,Alma / Integraciones,media,Solucionado,resuelta,excel
IN100,Telefonia / Central telefonica,Central telefonica de La Florida requirio reinicio,Operacion,2026-07-16T12:00:00-04:00,La central telefonica de la sucursal La Florida dejo de funcionar y se reinicio,Se reinicio la central telefonica; quedo operativa,GTI,baja,Solucionado,resuelta,excel
IN101,Infraestructura / PC,Equipo nuevo en Talagante Box 4 con fecha y hora de BIOS incorrecta,Operacion,2026-07-17T12:00:00-04:00,"Equipo nuevo en sucursal Talagante Box 4 presento un comportamiento a revisar; se identifico que la fecha y hora configurada en la BIOS estaba incorrecta. Patricio Labbe se encontraba en sucursal y se le solicito corregirlo, pero ya se habia retirado al momento de coordinar la revision",Corregir fecha y hora de BIOS en el equipo; coordinar con Patricio Labbe u otro tecnico disponible en sucursal para aplicar el ajuste,GTI,baja,Solucionado,resuelta,excel
IN102,Administracion / Usuarios,Boton Asignar prestacion no carga en Listado de Usuarios,Operacion,2026-07-17T12:00:00-04:00,"Al hacer clic en el boton de asignar prestacion (icono naranja) para el usuario Daniela Pavez (ID 10411, RUT 19179628-4) en el Listado de Usuarios, el boton no carga ni responde",Revisar el componente/endpoint asociado al boton de asignar prestacion en el panel de usuarios; validar si el problema es general o especifico de este usuario,Alma,media,Solucionado,resuelta,excel
IN103,Agendamiento / Alma,"Reaparicion: Pedro Cruz Gonzalez aparece disponible en La Florida en horario AM, cuando su turno de manana es en Talagante",Operacion,2026-07-18T12:00:00-04:00,"Se reporto nuevamente a Pedro Cruz Gonzalez con multiples horas disponibles en La Florida durante la manana del 18-07-2026 (Ecografia Mamaria Bilateral, bloques desde 09:00 hasta pasadas las 15:00), pese a que su turno AM corresponde a Talagante (ver IN099). Se plantea como hipotesis que la informacion podria corresponder a datos de un dia anterior no actualizados",Confirmar si la disponibilidad mostrada corresponde a datos desactualizados (cache) o si el error de asignacion de sucursal/turno de IN099 no quedo resuelto de forma definitiva; validar en tiempo real,Alma,media,Solucionado,resuelta,excel
IN104,Agendamiento,"Agenda del Dr. Quintero sigue mostrando disponibilidad pese a bloqueo, y no aparece creada en el sistema (fantasma)",Operacion,2026-07-18T12:00:00-04:00,"El Dr. Quintero sigue apareciendo disponible para toma de horas pese a que se informo que su agenda de hoy debia estar bloqueada; al revisar, la agenda no aparece creada en el sistema (agenda fantasma). Posible relacion con IN032 (agendamientos fantasma) e IN073 (agenda del Dr. Quintero ya reportada previamente con problemas de visibilidad)",Revisar por que se muestra disponibilidad para una agenda que no esta creada en el sistema; investigar relacion con incidencias previas de agendas fantasma para el mismo profesional,Alma,alta,Solucionado,resuelta,excel
IN105,Agendamiento,No se refleja el profesional Jose Sepulveda para toma de horas,Operacion,2026-07-20T12:00:00-04:00,"El profesional Jose Sepulveda no se refleja/aparece disponible para toma de horas, impidiendo agendar pacientes con el",Revisar configuracion y publicacion de la agenda de Jose Sepulveda; validar por que no aparece disponible para reserva,Alma,media,Solucionado,resuelta,excel
IN106,Totem,Totem no genera ticket de atencion,Operacion,2026-07-20T12:00:00-04:00,"El totem de MaipoSalud muestra el mensaje Imposible generar el ticket de atencion. Por favor contacte al administrador, impidiendo que los pacientes obtengan su numero de atencion",Contactar al administrador del sistema segun indica el mensaje de error; revisar servicio de generacion de tickets del totem y su conectividad/integracion,GTI,media,Solucionado,resuelta,excel
IN107,Carga Masiva de Capacidad Instalada / Alma Medica,Error al confirmar carga masiva: No se encontro el ID en base de datos para un medico (Dr. Jesus Ortega Ferrer),Operacion,2026-07-20T12:00:00-04:00,"Al confirmar y guardar la carga masiva de capacidad instalada para BOX 2 - Cardiovascular (sucursal La Cisterna), el sistema arrojo el error No se encontro el ID en base de datos para Dr. Jesus Ortega Ferrer, impidiendo guardar la apertura del 07-08-2026 para ese profesional",Verificar que el Dr. Jesus Ortega Ferrer este correctamente registrado con su ID en la base de datos de medicos; corregir o crear el registro faltante para permitir la carga de su capacidad instalada,Alma / Integraciones,alta,Solucionado,resuelta,excel
IN108,Carga Masiva de Capacidad Instalada / Alma Medica,"Boxes de sucursal La Florida no tienen numero asignado, solo nombre, bloqueando la carga de capacidad instalada",Operacion,2026-07-20T12:00:00-04:00,"Al intentar cargar la capacidad instalada (agendas) de la sucursal La Florida en el modulo de Carga Masiva, los boxes de destino aparecen listados solo con nombre (ej. Scanner, Box Medicina, Ecografias Generales) pero sin numero de box asignado, a diferencia de otras sucursales. La Florida es la unica sucursal que falta por cargar, y no se puede completar sin esta informacion","Regularizar/asignar numero de box para todos los boxes de la sucursal La Florida a la brevedad, ya que bloquea la finalizacion de la carga de capacidades instaladas de todas las sucursales",Alma / Integraciones,alta,Solucionado,resuelta,excel
IN109,Agendamiento,Se estan agendando pacientes en la agenda de Catalina Hernandez pese a estar bloqueada,Operacion,2026-07-21T12:00:00-04:00,"La agenda de Catalina Hernandez se encuentra bloqueada, pero se siguen registrando reservas en ella. Caso detectado: paciente Moraga Leiva Yoseline Andrea (RUT 16648569-k), agendada el 21-07-2026 a las 14:42:58 para Ecografia Abdominal a las 15:30",Revisar por que el bloqueo de la agenda de Catalina Hernandez no impide nuevas reservas; validar si hay bloqueos duplicados o mal configurados como en IN098; anular o reagendar la reserva de la paciente afectada segun corresponda,Alma,alta,Solucionado,resuelta,excel
IN110,Agendamiento / Contact,Contact no permite agendar Medicina General; endpoint devuelve error 401 Unauthorized,Operacion,2026-07-22T12:00:00-04:00,"Al intentar agendar Medicina General desde Contact (alma.maiposalud.com/contact/pages/consultas.php), el sistema devuelve el error {""message"":""Se requiere un Token Bearer valido."",""error"":""Unauthorized"",""statusCode"":401}, bloqueando el agendamiento. Sugiere un problema de autenticacion/expiracion de token en la integracion de ese modulo, no de disponibilidad de horas","Revisar la generacion/renovacion del Token Bearer usado por Contact para consultar el endpoint de agendamiento; validar si el token expiro, no se genero correctamente, o hay un problema de configuracion de autenticacion en el API",Alma / Integraciones,alta,Solucionado,resuelta,excel
IN111,Scanner / Carestream Image Suite,Adquisicion de imagenes bloqueada por limite de licencia alcanzado,Operacion,2026-07-22T12:00:00-04:00,"El sistema Carestream Image Suite alcanzo el limite de licencia en el recuento de imagenes, bloqueando la adquisicion de nuevas imagenes. El sistema indica que solo se pueden eliminar automaticamente imagenes entregadas, eliminadas a mano o impresas mediante DICOM, y que esten terminadas y sin reservar","Liberar espacio de almacenamiento eliminando manualmente imagenes segun los criterios indicados (entregadas/impresas via DICOM, terminadas y sin reservar); evaluar si se requiere ampliar el limite de licencia de forma permanente para evitar recurrencia",GTI,alta,Solucionado,resuelta,excel
IN112,Worklist / Exámenes,Box 8 sin worklist,Operacion,2026-07-22T12:00:00-04:00,Caida en sistema,"Revisar conectividad, servicio local, cola de trabajo e integración con el sistema clínico",GTI / Alma,media,Solucionado,resuelta,excel
IN113,Infraestructura / Mac Mini,"Disco casi lleno en Mac Mini de sala de ecografia, sucursal Talagante",Operacion,2026-07-22T12:00:00-04:00,"El equipo Mac Mini de la sala de ecografia en sucursal Talagante mostro el aviso del sistema El disco esta casi lleno, sugiriendo optimizar almacenamiento","Liberar espacio en disco (eliminar archivos innecesarios, optimizar almacenamiento o ampliar capacidad); revisar si el disco lleno puede afectar el guardado de estudios de ecografia en ese equipo",GTI,baja,Solucionado,resuelta,excel
IN114,Agendamiento,Horas PM visibles; Falta disponibilidad completa en agenda.,Operacion,2026-07-24T12:00:00-04:00,"La agenda muestra solo horas de tarde disponibles, aunque la capacidad instalada indica jornada completa.",Revisar generación de bloques y publicación de disponibilidad,Alma,alta,Solucionado,resuelta,excel
IN115,Impresoras,Problema impresora box 11,Operacion,2026-07-24T12:00:00-04:00,Falla en la impresora,"Revisar equipo, se coordina revisión presencial",GTI,media,Solucionado,resuelta,excel
IN116,Ficha / Agenda,Bloqueo de emisión de informe,Operacion,2026-07-27T12:00:00-04:00,No habilita la opción para tipear/redactar informe del paciente en la plataforma (iconos de edición/lápiz deshabilitados en plomo),Revisión de estado de atención y permisos de edición en perfil médico,Alma,alta,Solucionado,resuelta,excel
IN117,Red / Conectividad,Internet caido,Operacion,2026-07-29T12:00:00-04:00,Sin internet,Monitoreo en curso; visita técnica coordinada,GTI,media,Solucionado,resuelta,excel
IN118,Totem / Bono Electronico,Totem no emite bono electronico tras finalizar venta (dos casos),Operacion,2026-07-30T12:00:00-04:00,"El mensaje de: retirar bono electronico, comprobante de pago y comprobante de respaldo de venta para finalizar en caja, pero no emitio el bono electronico; se reporto en dos ocasiones","En revision con Mobius; validar si la venta quedo registrada correctamente en Fonasa pese a no emitirse el bono, y si el paciente requiere alguna regularizacion manual",GTI / Integraciones,alta,Solucionado,resuelta,excel
IN119,Caja / Totem,Resumen de caja no suma las ventas registradas (Ingresos totales muestra $0),Operacion,2026-07-31T12:00:00-04:00,"En la caja de totem, el Resumen de caja muestra Ingresos totales $0 e Ingresos en efectivo $0, pese a existir movimientos de ingreso registrados en el listado con montos reales",Revisar el calculo/agregacion del Resumen de caja para que refleje la suma real de los movimientos de ingreso listados; validar si es un problema de refresco de datos o de la logica de calculo del total,Alma / Integraciones,alta,Solucionado,resuelta,excel
IN120,Impresoras,Impresora del Box 5 defectuosa: toma varias hojas en una sola impresion,Operacion,2026-08-01T12:00:00-04:00,La impresora del Box 5 esta defectuosa; al imprimir toma 3 hojas de papel de una sola vez en lugar de una,Revisar y reparar/ajustar el mecanismo de alimentacion de papel de la impresora; evaluar reemplazo si el problema persiste,GTI,media,,nueva,excel
IN121,Ficha Clinica / Alma,Doctora ginecologa reporta que al ingresar a un paciente se cargo informacion de otra paciente distinta,Operacion,2026-08-01T12:00:00-04:00,"La Dra. Ginecologo reporta problema al ingresar a un paciente: el sistema cargo informacion correspondiente a otra paciente distinta, mezclando datos clinicos entre dos fichas","Priorizar por riesgo clinico y de privacidad de datos de pacientes; identificar ambos RUT involucrados, revisar logs de acceso/carga de ficha, y validar que no haya quedado informacion cruzada guardada entre ambas fichas",Alma,alta,,nueva,excel
IN122,Chat Bot / Agendamiento,Calendario desconfigurado: citas llegan con fecha/hora incorrecta,Actualización,2026-08-03T12:00:00-04:00,Desfase en calendario; muestra lunes 1/8 y llegó hoy 3/8 con hora del sábado 1,Revisar lógica de cálculo de fecha/hora y zona horaria en agendamiento,GTI,media,,nueva,excel
IN123,Codepacs,Cajas y anfitriona no pueden ingresar,Actualizacion,2026-08-03T12:00:00-04:00,Solicitan clave para usuarios con cuenta activa; acceso restringido y controlado por rol,Validar función/rol en el sistema y enviar reset de clave solo por correo autorizado,GTI,media,Solucionado,resuelta,excel
IN124,Agendamiento,Calendario permite agendar con profesional no disponible,Actualizacion,2026-08-04T12:00:00-04:00,"El calendario permitió tomar hora para la Dra. Ana Piña, pese a no estar activa/disponible","Validar estado de profesional, depurar disponibilidad en calendario",Alma,media,Solucionado,resuelta,excel
IN125,Red / Conectividad,Inestabilidad intermitente en Talagante (caídas parciales),Operacion,2026-08-05T12:00:00-04:00,Inestabilidad en internet talagante,Monitoreo en curso; visita técnica coordinada,GTI,media,,nueva,excel
IN126,Totem / Bono Electronico,Intermitencia en validacion Fonasa / error al consultar pacientes,Operacion,2026-08-06T12:00:00-04:00,Intermitencia con Fonasa; recarga de aplicación no soluciona; afecta varios pacientes,Verificación con proveedor / monitoreo de servicio,GTI / Integraciones,alta,,nueva,excel
IN127,Mamografía,Equipo no dispara / error de equipo,Operacion,2026-08-06T12:00:00-04:00,Fallo en equipo de mamografía mostrado en pantalla,Revisión técnica de equipo,GTI,media,Solucionado,resuelta,excel
IN128,Red / Conectividad,Equipo box 5 sin internet,Operacion,2026-08-07T12:00:00-04:00,cable suelto,Revisión técnica de equipo,GTI,media,Solucionado,resuelta,excel
IN129,App / Agenda,Nombre de médico incorrecto en confirmación final,Operacion,2026-08-07T12:00:00-04:00,La app final muestra un profesional distinto al asignado; en la notificación aparece Dr. Juan Pérez,Validar origen de datos en agenda / integración,GTI,media,,nueva,excel
IN130,Worklist / Exámenes,Box 8 sin worklist,Operacion,2026-08-08T12:00:00-04:00,Caida en sistema,"Revisar conectividad, servicio local, cola de trabajo e integración con el sistema clínico",GTI / Alma,media,Solucionado,resuelta,excel
IN131,PACS / MWL,Problemas de conexión y visualización de estudios en sucursales La Cisterna 057 y 067,Operacion,2026-08-10T12:00:00-04:00,"Técnicos reportan problemas con PACS, MWL, CodePACS y worklist. No llegan pacientes ni se puede ingresar al sistema.","Validar estado del PACS/MWL, revisar conectividad entre sucursales y escalar a soporte técnico.",Alma / TI,alta,Solucionado,resuelta,excel
IN132,PACS / Worklist,Worklist no actualizada o sin pacientes disponibles en Talagante,Operacion,2026-08-10T12:00:00-04:00,Talagante presenta problemas para visualizar pacientes y realizar informes; técnicos deben trabajar manualmente.,"Actualizar la lista de trabajo, validar sincronización con PACS y confirmar visualización desde los equipos.",Alma / TI,alta,Solucionado,resuelta,excel
IN133,Alma,Caída o indisponibilidad temporal de Alma,Operacion,2026-08-10T12:00:00-04:00,Usuarios informan que Alma está caída y que no pueden ingresar a ningún sistema ni recibir pacientes.,"Validar disponibilidad general de Alma, revisar monitoreo y comunicar recuperación del servicio a las sucursales.",Alma / TI,alta,Solucionado,resuelta,excel
IN134,Worklist / Equipos médicos,Diferencia de actualización entre ecógrafo y equipo Mac,Operacion,2026-08-10T12:00:00-04:00,"El ecógrafo actualizó la información, pero el equipo Mac no; persiste la falta de sincronización de la lista de trabajo.","Comparar configuración de ambos equipos, actualizar worklist y revisar conectividad del Mac con PACS/MWL.",TI / PACS,alta,Solucionado,resuelta,excel
IN135,Box 14 / Ecografía La Cisterna,Error en la llamada: “No se encontraron pantallas en la petición” al llamar pacientes,Operación,2026-08-11T12:00:00-04:00,"La pantalla de llamada devuelve un error al intentar llamar pacientes desde Box 14, impidiendo avanzar con el flujo de atención",Revisar configuración de pantallas asociadas a la petición y validar integración del módulo de llamado,GTI / Integraciones,media,Solucionado,resuelta,excel
IN136,Tótem / Pagos / Acceso al sistema,Tótem de Talagante no permite completar pagos y posteriormente no permite ingresar al sistema,Operación,2026-08-11T12:00:00-04:00,"La transacción no se realiza al momento del pago. El problema afecta a varios pacientes. Posteriormente, se informa que el sistema tampoco permite ingresar. Aún no se cuenta con captura ni mensaje de error específico.","Solicitar captura o código de error; identificar si el problema afecta a todos los tótems o solo a Talagante; revisar integración de pago, conectividad y disponibilidad de la plataforma; validar si existe una caída general del sistema",GTI / Integraciones / Alma,alta,Solucionado,resuelta,excel
IN137,Caja / Convenios,El nombre del convenio seleccionado y pagado no aparece en el consolidado de caja,Requerimiento,2026-08-14T12:00:00-04:00,"El sistema permite seleccionar y pagar un convenio, pero el consolidado de caja no muestra el nombre del convenio.",Guardar el ID del convenio y mostrar su nombre en el consolidado de caja. Requiere ajustes en frontend y backend.,Alma / Integraciones,media,,nueva,excel
